time,q,qdot,error,target_angle
9.679,0.000504692288877,-0.000607899598652,1.49949530771,1.5
9.679,0.0100234787672,1.97687070431,1.48997652123,1.5
9.723,0.0883222405012,2.16974307506,1.4116777595,1.5
9.745,0.166209256134,2.38095321044,1.33379074387,1.5
9.788,0.242855220514,2.20058410847,1.25714477949,1.5
9.831,0.317412755058,2.19882882772,1.18258724494,1.5
9.879,0.392171024904,2.20239067736,1.1078289751,1.5
9.927,0.467397893438,2.21986826682,1.03260210656,1.5
9.927,0.543031140663,2.22313184122,0.956968859337,1.5
9.975,0.619021722529,2.24104543917,0.880978277471,1.5
9.983,0.695291370256,2.2401579662,0.804708629744,1.5
10.027,0.771833529444,2.25475011154,0.728166470556,1.5
10.07,0.848422800321,2.22552579029,0.651577199679,1.5
10.111,0.920770566629,2.03625641502,0.579229433371,1.5
10.155,0.986073563442,1.81994666495,0.513926436558,1.5
10.156,1.04452443174,1.62604080243,0.455475568261,1.5
10.203,1.09658785406,1.44793441906,0.403412145941,1.5
10.221,1.14279883139,1.29326972427,0.357201168607,1.5
10.263,1.18377328959,1.13729613073,0.316226710411,1.5
10.305,1.22007018537,1.01493963518,0.27992981463,1.5
10.353,1.25218620859,0.885727354572,0.247813791412,1.5
10.401,1.28061705056,0.794160917857,0.219382949437,1.5
10.401,1.30576163462,0.691507789489,0.194238365375,1.5
10.449,1.32801335209,0.616101530201,0.171986647911,1.5
10.459,1.3476914148,0.535287406428,0.152308585202,1.5
10.5,1.36510793531,0.478187840402,0.134892064692,1.5
10.544,1.38052018502,0.423457177899,0.11947981498,1.5
10.588,1.3941599364,0.374664462274,0.105840063602,1.5
10.632,1.40624737506,0.346442288913,0.0937526249383,1.5
10.632,1.41694064959,0.300276046835,0.0830593504109,1.5
10.676,1.42641102947,0.269461508368,0.0735889705313,1.5
10.697,1.43478716398,0.229926910807,0.0652128360185,1.5
10.74,1.44219298085,0.199873820763,0.0578070191508,1.5
10.783,1.44877860897,0.188617536907,0.0512213910263,1.5
10.827,1.4545869881,0.172756503288,0.0454130118973,1.5
10.876,1.45973288712,0.13910663838,0.0402671128833,1.5
10.876,1.46430899678,0.11672649476,0.0356910032176,1.5
10.92,1.46836626927,0.108351027814,0.0316337307326,1.5
10.935,1.47194855648,0.0976942015227,0.0280514435207,1.5
10.975,1.47512098738,0.0912841821227,0.0248790126182,1.5
11.019,1.47792335561,0.0739388739926,0.0220766443935,1.5
11.063,1.4804269256,0.0643577947282,0.0195730743985,1.5
11.107,1.48264838507,0.066931482659,0.0173516149332,1.5
11.107,1.48459908358,0.0660396300908,0.0154009164235,1.5
11.151,1.48632794296,0.0448985128663,0.0136720570358,1.5
11.173,1.48787863879,0.0328980620934,0.0121213612115,1.5
11.215,1.48925693133,0.0341630651769,0.0107430686705,1.5
11.263,1.4904659875,0.0321493461827,0.0095340124982,1.5
11.307,1.491536945,0.0330990009709,0.00846305499888,1.5
11.351,1.49249775736,0.0322721146827,0.00750224263733,1.5
11.351,1.49333671289,0.0134949108329,0.00666328711472,1.5
11.395,1.4940943695,0.0167022515456,0.00590563050175,1.5
11.411,1.49475534288,0.0167934883199,0.00524465711909,1.5
11.454,1.49533980316,0.0194286313009,0.00466019683698,1.5
11.499,1.49584987026,0.0102112866301,0.00415012974055,1.5
11.542,1.4963226463,0.00812534786254,0.00367735370208,1.5
11.59,1.49674433969,0.0170725180811,0.00325566031013,1.5
11.591,1.49710027029,0.021881628048,0.00289972971259,1.5
11.635,1.49741576016,0.0055405147751,0.00258423983543,1.5
11.649,1.4977134579,-0.00179648997863,0.0022865420985,1.5
11.69,1.49798074251,0.0030902453188,0.00201925748986,1.5
11.735,1.49820546872,0.00471371676806,0.00179453128147,1.5
11.778,1.49840226386,0.00868278816272,0.00159773614168,1.5
11.827,1.49856802117,0.000693385999906,0.00143197882902,1.5
11.827,1.49873513269,-0.000391571597841,0.00126486730781,1.5
11.87,1.49888564592,0.00953336405495,0.00111435407941,1.5
11.887,1.49900092437,0.0152143863214,0.000999075634474,1.5
11.93,1.49910284068,-0.000361225772897,0.000897159324697,1.5
11.978,1.49921107209,-0.00704785239915,0.000788927905974,1.5
12.021,1.49931024732,-0.00157047737354,0.000689752675242,1.5
12.07,1.49938578809,0.000584160353481,0.000614211906125,1.5
12.07,1.49945022075,0.00501713448567,0.000549779254171,1.5
12.113,1.49949847708,-0.00255234851516,0.000501522922866,1.5
12.125,1.49956129513,-0.00329638572543,0.000438704873179,1.5
12.166,1.49961926819,0.00696210100505,0.000380731814286,1.5
12.21,1.49965240081,0.0129394425827,0.000347599192418,1.5
12.257,1.4996813892,-0.00237628190034,0.000318610797035,1.5
12.305,1.49972488956,-0.0088424781079,0.000275110441607,1.5
12.305,1.49976660115,-0.00316815449357,0.000233398854163,1.5
12.353,1.49979111978,-0.000827081723224,0.000208880218807,1.5
12.363,1.49981025305,0.00375722463434,0.000189746948655,1.5
12.406,1.49981828542,-0.00366397681499,0.000181714575422,1.5
12.453,1.49984538412,-0.00429175325713,0.000154615875457,1.5
12.497,1.49987165046,0.00608057656119,0.000128349544442,1.5
12.541,1.4998766177,0.0121596341746,0.000123382297018,1.5
12.542,1.49988058771,-0.00306767844939,0.000119412292186,1.5
12.589,1.49990187415,-0.00945846286953,9.81258451951e-05,1.5
12.601,1.49992386228,-0.00371469555131,7.61377183958e-05,1.5
12.645,1.49993085603,-0.00131166852935,6.91439728788e-05,1.5
