time,q,qdot,error,target_angle
84.343,-2.3556394365,0.0139114925001,0.000360563495301,0
84.386,-2.35565334803,-0.0122743266085,0.000346651971334,0
84.43,-2.35564107298,0.00914661094869,0.000358927023067,0
84.474,-2.35565581891,-0.0182760313507,0.000344181087391,0
84.518,-2.35563754061,0.00724646087602,0.000362459386837,0
84.541,-2.35564479475,-0.0053581839722,0.000355205253896,0
84.582,-2.35563943348,0.0139123054976,0.000360566515251,0
84.626,-2.35565334632,-0.0122745225589,0.000346653680338,0
84.674,-2.3556410746,0.00914656263972,0.000358925402811,0
84.718,-2.35565581684,-0.0182762504352,0.000344183157489,0
84.766,-2.35563754083,0.00724647537382,0.000362459167923,0
84.779,-2.35564478931,-0.00535681379859,0.000355210693795,0
84.822,-2.35563943281,0.0139122513694,0.000360567189661,0
84.865,-2.35229581451,0.755081060345,1.49629581451,1.5
84.909,-2.28877887561,2.21038666954,1.43277887561,1.5
84.957,-2.13634883424,2.25697833667,1.28034883424,1.5
85.001,-2.06001088691,2.18304825541,1.20401088691,1.5
85.018,-1.98337128075,2.21712361122,1.12737128075,1.5
85.06,-1.90710425858,2.11850239437,1.05110425858,1.5
85.105,-1.83060678356,2.11368469898,0.974606783556,1.5
85.149,-1.75413735589,2.21729446491,0.898137355886,1.5
85.193,-1.60276729913,2.17648858974,0.746767299132,1.5
85.241,-1.52831298255,2.16074939192,0.672312982549,1.5
85.256,-1.45617494428,2.03465479142,0.600174944284,1.5
85.296,-1.38991354709,1.84104169899,0.533913547093,1.5
85.344,-1.33036658735,1.64137362121,0.474366587351,1.5
85.388,-1.277058154,1.47254537995,0.421058153997,1.5
85.432,-1.18714541751,1.16543360209,0.331145417505,1.5
85.48,-1.14950065639,1.02685302283,0.293500656387,1.5
85.494,-1.11605574543,0.916786174418,0.260055745429,1.5
85.536,-1.08640248028,0.804785808373,0.230402480285,1.5
85.58,-1.060100631,0.718218892287,0.204100631002,1.5
85.625,-1.03681673807,0.628299762522,0.180816738065,1.5
85.669,-0.997418033664,0.522239060527,0.141418033664,1.5
85.717,-0.981328128772,0.454109038911,0.125328128772,1.5
85.733,-0.967091739178,0.412302997763,0.111091739178,1.5
85.779,-0.954503763381,0.356904558271,0.0985037633806,1.5
85.824,-0.943367492151,0.326114528473,0.0873674921506,1.5
85.868,-0.933522413263,0.280804986765,0.0775224132634,1.5
85.911,-0.917110763581,0.221332476662,0.0611107635811,1.5
85.955,-0.910294843793,0.206038345389,0.0542948437934,1.5
85.971,-0.904268203297,0.174898818683,0.0482682032966,1.5
86.011,-0.898931392056,0.16493199164,0.0429313920563,1.5
86.059,-0.894211491336,0.138656594182,0.0382114913357,1.5
86.103,-0.890029089027,0.132846310831,0.0340290890268,1.5
86.147,-0.883048055228,0.107791788607,0.0270480552281,1.5
86.191,-0.880144726,0.0882618987042,0.0241447259999,1.5
86.209,-0.877567732387,0.0882131226056,0.0215677323874,1.5
86.251,-0.87528701915,0.070982322278,0.0192870191497,1.5
86.295,-0.873260656598,0.0728984392198,0.017260656598,1.5
86.339,-0.871467095796,0.0574578845411,0.0154670957964,1.5
86.387,-0.868435382759,0.0244782370578,0.0124353827589,1.5
86.431,-0.867177456607,0.0250111220586,0.011177456607,1.5
86.448,-0.866073575229,0.0162551435757,0.0100735752285,1.5
86.491,-0.865079930213,0.0176956118672,0.0090799302132,1.5
86.535,-0.864210252182,0.00979516861595,0.00821025218194,1.5
86.572,-0.863424296478,0.0119460145528,0.00742429647844,1.5
86.615,-0.862738805082,0.00470130285079,0.0067388050819,1.5
86.659,-0.861575744723,0.000701179202482,0.00557574472333,1.5
86.703,-0.861081912623,0.0038595027102,0.0050819126229,1.5
86.72,-0.860655671339,-0.00245321768785,0.00465567133899,1.5
86.763,-0.860263352095,0.00104511518116,0.00426335209458,1.5
86.807,-0.859927279248,-0.00494311752778,0.00392727924805,1.5
86.851,-0.859615100089,-0.0011765599775,0.00361510008883,1.5
86.895,-0.859101393368,-0.00293254297927,0.00310139336824,1.5
86.938,-0.858892841069,-0.00846501990472,0.00289284106925,1.5
86.959,-0.858681204063,0.0128679597363,0.00268120406314,1.5
87.003,-0.85850878693,0.0212783315242,0.00250878693006,1.5
87.046,-0.858359169242,0.0117679954317,0.00235916924159,1.5
87.094,-0.858221903039,0.0202978282619,0.00222190303863,1.5
87.138,-0.857994158335,0.019520849083,0.00199415833548,1.5
87.186,-0.857900627409,0.010204908622,0.00190062740877,1.5
87.197,-0.857813294409,0.018902277085,0.0018132944088,1.5
87.242,-0.85773943013,0.00965740972271,0.00173943012966,1.5
87.284,-0.857677381715,-0.00777231069855,0.00167738171548,1.5
87.332,-0.857624101334,-0.0127534656702,0.00162410133361,1.5
