time,q,qdot,error,target_angle
1402.198,-0.000179117175509,-0.00352965376318,0.000179117175509,0
1402.242,0.00260798346802,1.18389184793,1.49739201653,1.5
1402.242,0.0783367975117,2.25607878363,1.42166320249,1.5
1402.286,0.156351584797,2.3103923174,1.3436484152,1.5
1402.304,0.234697295673,2.38660331836,1.26530270433,1.5
1402.35,0.314243213689,2.32566713648,1.18575678631,1.5
1402.394,0.393431801576,2.3397297781,1.10656819842,1.5
1402.437,0.473317203195,2.3567761288,1.0266827968,1.5
1402.481,0.553862456421,2.37145035509,0.946137543579,1.5
1402.482,0.634928199943,2.39470151163,0.865071800057,1.5
1402.525,0.716379435145,2.39767738541,0.783620564855,1.5
1402.543,0.798137276138,2.41389497175,0.701862723862,1.5
1402.585,0.880118080882,2.40568971694,0.619881919118,1.5
1402.633,0.962298654334,2.41690127646,0.537701345666,1.5
1402.681,1.04462034949,2.42304873513,0.455379650512,1.5
1402.682,1.1270584302,2.42074518401,0.372941569798,1.5
1402.721,1.20580294387,2.14368539125,0.294197056127,1.5
1402.747,1.27117572387,1.73468286657,0.228824276131,1.5
1402.789,1.32346221237,1.36248819256,0.176537787631,1.5
1402.832,1.36457240052,1.06471250828,0.135427599478,1.5
1402.876,1.39646093912,0.818822913579,0.10353906088,1.5
1402.92,1.42097630814,0.628341287301,0.0790236918551,1.5
1402.92,1.43970071314,0.477726169798,0.0602992868621,1.5
1402.968,1.45394434668,0.372009943353,0.0460556533164,1.5
1402.985,1.4647507169,0.27533607618,0.0352492830983,1.5
1403.028,1.47295861424,0.216245628095,0.0270413857559,1.5
1403.076,1.47918511801,0.155823807483,0.0208148819935,1.5
1403.123,1.48392641472,0.1198571254,0.0160735852843,1.5
1403.124,1.48753645178,0.106543494726,0.0124635482223,1.5
1403.171,1.4903115145,0.0678893511635,0.00968848550444,1.5
1403.189,1.49245163999,0.0452905217033,0.00754836000996,1.5
1403.231,1.49410957142,0.0386727237053,0.00589042858259,1.5
1403.279,1.49538392477,0.0315975269007,0.0046160752282,1.5
1403.324,1.49637357614,0.0289361030376,0.00362642385613,1.5
1403.372,1.49713599612,0.01591090995,0.00286400388272,1.5
1403.372,1.49775939082,0.0269664891767,0.00224060918098,1.5
1403.416,1.49821874096,0.0084800448195,0.00178125903787,1.5
1403.427,1.49860369869,0.0195299087485,0.00139630130543,1.5
1403.471,1.49888657534,0.00445536996698,0.00111342465995,1.5
1403.515,1.4991323801,0.0157824357575,0.000867619897883,1.5
1403.563,1.49930880169,0.000934160736291,0.000691198310878,1.5
1403.611,1.49945333267,-0.00263992251962,0.000546667325414,1.5
1403.611,1.49958267035,0.00092562262453,0.000417329645167,1.5
1403.655,1.49967770514,0.00871293592867,0.000322294858658,1.5
1403.666,1.49974317405,0.00691403412574,0.000256825946201,1.5
1403.711,1.49979037443,0.0113007113613,0.000209625570033,1.5
1403.755,1.49982825226,-0.00286403945415,0.000171747744784,1.5
1403.803,1.49987203962,-0.00385880273498,0.000127960380351,1.5
1403.803,1.49989870027,0.00524975438608,0.000101299725734,1.5
1403.838,1.49990405298,-0.00147746770213,9.59470220918e-05,1.5
1403.87,1.49992633875,-0.00595041449367,7.3661247022e-05,1.5
1403.911,1.49995600532,-0.00169232888244,4.39946821489e-05,1.5
1403.955,1.49997242295,0.00666014467477,2.75770477485e-05,1.5
1403.999,1.49997584441,0.0052864082785,2.41555942591e-05,1.5
1404.043,1.49997401992,0.0100135602412,2.59800841471e-05,1.5
1404.043,1.4999730798,-0.00387736782852,2.69201987315e-05,1.5
1404.087,1.49998618209,-0.00466961464268,1.38179059741e-05,1.5
1404.108,1.49998869127,0.00461840097453,1.13087324012e-05,1.5
1404.149,1.49997498304,-0.0019672284548,2.50169639653e-05,1.5
1404.197,1.499982242,-0.00635391647134,1.77579990348e-05,1.5
1404.242,1.49999998246,-0.00200939685866,1.75392411705e-08,1.5
1404.286,1.50000698267,0.00640295051229,6.9826687108e-06,1.5
1404.286,1.5000030424,0.00508941114925,3.04240477256e-06,1.5
