time,q,qdot,error,target_angle
248.096,0.000188961460506,-0.00917176867105,0.000188961460506,0
248.106,-0.000188523713828,-0.00522440835846,0.000188523713828,0
248.152,-0.000219595689562,-0.00607597729711,0.000219595689562,0
248.2,-0.000212569344932,0.00441203448019,0.000212569344932,0
248.244,-0.000232746502683,-0.00131403732561,0.000232746502683,0
248.288,-0.000229376205898,-0.00538869121761,0.000229376205898,0
248.31,-0.000175565427014,0.00666562382753,0.000175565427014,0
248.352,-0.000194505341483,-0.00324225372114,0.000194505341483,0
248.395,0.000154587152262,-0.00417243434199,0.000154587152262,0
248.439,0.000165031212406,-0.003085551976,0.000165031212406,0
248.487,0.000140478227654,0.00454832341996,0.000140478227654,0
248.531,0.000129257180874,0.000406842124656,0.000129257180874,0
248.548,0.000132201044527,0.0027149348157,0.000132201044527,0
248.591,0.0638112919886,2.36931118148,1.43618870801,1.5
248.635,0.141354584601,2.21018126336,1.3586454154,1.5
248.679,0.219178434226,2.27012968905,1.28082156577,1.5
248.722,0.377426350387,2.18248562467,1.12257364961,1.5
248.766,0.451994065233,2.21824172669,1.04800593477,1.5
248.787,0.529337132367,2.33548491542,0.970662867633,1.5
248.83,0.611510534881,2.48507821331,0.888489465119,1.5
248.874,0.697942225854,2.59433277826,0.802057774146,1.5
248.918,0.786902637915,2.63197258195,0.713097362085,1.5
248.966,0.968860624366,2.62366797183,0.531139375634,1.5
249.01,1.06024892581,2.59686520944,0.439751074186,1.5
249.027,1.1483929793,2.57605894922,0.351607020699,1.5
249.07,1.23622771317,2.57801396117,0.263772286831,1.5
249.114,1.324041673,2.58324186591,0.175958327005,1.5
249.157,1.4109029092,2.40569925401,0.089097090804,1.5
249.201,1.5155613485,0.749052133598,0.0155613484988,1.5
249.246,1.5316455012,0.262918127061,0.0316455011971,1.5
249.265,1.53547256975,0.0276400976483,0.0354725697497,1.5
249.306,1.53239451647,-0.15523111215,0.0323945164747,1.5
249.35,1.525445868,-0.235912965314,0.0254458679982,1.5
249.398,1.51653663194,-0.273927238876,0.0165366319353,1.5
249.445,1.49918442233,-0.219820373884,0.000815577670449,1.5
249.487,1.49308365249,-0.145413774584,0.00691634750856,1.5
249.503,1.48943197808,-0.075800401438,0.0105680219167,1.5
249.545,1.48825925128,-0.00464333155493,0.0117407487211,1.5
249.589,1.489141703,0.0445789830349,0.0108582970038,1.5
249.637,1.49151868947,0.0795919250974,0.00848131052974,1.5
249.685,1.49800487878,0.0803666787988,0.00199512122334,1.5
249.729,1.50081213877,0.0750723304374,0.000812138771948,1.5
249.742,1.50282628665,0.0408662899928,0.00282628664574,1.5
249.781,1.50395266093,0.0252437274819,0.00395266092581,1.5
249.829,1.5042167958,-0.00660112805751,0.004216795798,1.5
249.872,1.50373001352,-0.0283129151946,0.00373001352229,1.5
249.915,1.50167669937,-0.0255825170282,0.00167669936893,1.5
249.959,1.50051573996,-0.0382540146642,0.00051573995672,1.5
249.981,1.49953088163,-0.0308678810748,0.000469118365624,1.5
250.027,1.49887374319,-0.0198213547831,0.00112625681345,1.5
